nomor,nama_akun,tanggal_komentar,komentar,komentar_preprocessing,label
1,@ferryamd3613,2023-09-14T16:28:31Z,"Izin MABES POLRI tangkap terus bandar narkoba&#39;sekalian tangkap ada oknum oknum membekingi&#39;gara gara barang sampah ini banyak korban jadi ny,gara gara Shabu korban pemakaian barang bukti 200rb di kurung 5 tahun penjara sungguh tragis gak barang sampah ini",izin mabes polri tangkap bandar narkoba tangkap oknum oknum beking gara gara barang sampah korban gara gara shabu korban pakai barang bukti kurung tahun penjara sungguh tragis gak barang sampah,negative
2,@putriinrh493,2023-09-13T03:35:49Z,Kejak Sa an kalao ada  kasos narkba  yg tertangkap  ke jagong mala senang  uwang banyak wong endonesia banyak yg islam  tapi gk iman  imane karo donyo tok.,kejak kalao kasos narkba tangkap jagong mala senang uwang endonesia islam tidak iman imane karo donyo tok,negative
3,@syamnawali3714,2023-09-13T01:01:13Z,"Terima kasih untuk polri karna sudah menindak cepat kejadian tersebut ,,,<br>Seharusnya pecat langsung saja untuk pelajaran bagi supir&quot; bus pe.a lainya yg suka melawan arah",terima kasih polri karena tindak cepat jadi pecat ajar supir bus lai suka lawan arah,negative
4,@mbajago8880,2023-09-15T05:02:44Z,"Judi, narkoba , yang main dia2 juga 😅 siapa yang tak tergiur bisinis di bidang 2 hal ini😊, gue aja kalo punya pangkat bakalan jadi pemain koq !!!",judi narkoba main dia giur bisinis bidang saya aja pangkat main koq,negative
5,@agungsetiadi2066,2023-09-13T04:19:02Z,"JOS GANDOS BUAT POLRI, HATAM TERUS PAK POL ! <br>PENINDAKAN SEPERTI POLRI INI HARUS DILAKUKAN JUGA OLEH KPK ! KORUPTOR HARUS DIMISKINKAN DAN PENERAPAN HUKUMAN MATI.",jos gandos polri hatam pol tindak polri kpk koruptor miskin terap hukum mati,positive
6,@rekananrekanan5445,2023-09-16T04:03:31Z,"Yo ada pjabat yg mlindungi pasti aja kuaya ruaya dn jy a,coba rakyat yg jual ws remok dikploki🙄🙄",pjabat mlindungi aja kuaya ruaya dan coba rakyat jual rok dikploki,negative
7,@MatJais-ro3em,2023-09-16T22:28:54Z,Basmi terus pak polisi jg biarkan mereka yg menghancur generasi bsngsa ini brapo polisi harga mati,basmi polisi juga biar hancur generasi bsngsa brapo polisi harga mati,positive
8,@devitadevita458,2023-09-13T00:26:03Z,Wira usaha yg berprestasi..yg patut di acungi jempol dn di budidayakan..dn segera di tempatkn di Alam kubur,wira usaha prestasi patut acung jempol dan budidayakan dan tempatkn alam kubur,negative
9,@makhluktuhan.,2023-09-16T23:48:44Z,"Polisi Indonesia : ini tangkapan besar harus di usut tuntas<br>Bandar : ini hanya masalah kecil, tetap lanjutkan peredaran biar merasa mereka (polisi) bekerja. Siapkan uang kita suap mereka biar jln lancar<br>Wkwkkwkwkw semua sudah ada jalurnya",polisi indonesia tangkap usut tuntasbandar lanjut edar biar polisi siap uang suap biar jln lancarwkwkkwkwkw jalur,negative
10,@ajitdjiantoro,2023-09-13T05:13:49Z,"Celestial Movies, &quot;Jika modus apapun terselesaikan dalam solusi film&quot;, Apalagi secara nyata &amp; reall<br>Tinggal liat &amp; nunggu penghianatan dari kedua kubu, yaitu kubu kriminal &amp; kubu hukum",celestial movies modus apa selesai solusi film realltinggal liat nunggu penghianatan kubu kubu kriminal kubu hukum,negative
