nomor,nama_akun,tanggal_komentar,komentar
1,@agusdarmawan7576,2023-10-08T06:29:45Z,"&quot; PENJAHAT ITU JNG DIKASIH  KESEMPATAN ,UTK MERUSAK RRI DAN NKRI ,"
2,@bngpi3430,2023-09-16T09:36:10Z,Hukum mati.
3,@user-nc4sy6bx2p,2023-09-16T01:36:39Z,"Kinerja Polri yg sngat membanggakan ,mmbrantas jaringan Narkoba trbesar asia,,"
4,@muhamadntt9096,2023-09-18T03:29:54Z,Hukum mati para pelakunya...
5,@yennymey9639,2023-09-15T07:18:15Z,Bs mengurangi hutang negara
6,@hendriis3254,2023-09-16T07:24:35Z,Janggal. Omzet 10t yg disità ga sampe 100m.... uang tunai nya dmana? Aneh aneh sungguh aneh sekali... sangat aneh kalau melibat tppu.
7,@afmanime6885,2023-09-13T05:05:32Z,palingan juga jadi duta anti narkoba.. 😂😂
8,@duzynet6,2023-09-13T02:35:35Z,Ada hub nya gk ya sma jendral yg kena hukuman mati.......... hehehe
9,@elysabethwijaya5687,2023-09-13T18:15:11Z,Terima Kasih Bapak Bapak Polisi 👏👏👏👏👏 Puji Tuhan
10,@anonimy160,2023-09-12T23:19:34Z,"Jika uangnya bisa disita oleh negara, maka sangat baik untuk membangun tiap daerah."
11,@umiheryumihery6699,2023-09-19T13:58:18Z,p polisi yg jendral2 sabu nya jgn di jual lagi spertijendral tedy ok
12,@buset89,2023-09-13T08:53:30Z,10T😮😮😮. Wajib hukuman mati🎉🎉🎉
13,@solahudinhz7539,2023-09-12T23:17:04Z,"Semoga meteka yg di tangkap di hukum Mati, lalu dlm wkt berjalan Hukum Nya di Discount,  jd seumur Hidup, kmudian di anggap berklakuan baik. Lalu di Diacount lg hukuman nya. Dan akhir ny bebas kyk si Rambo"
14,@CARI_ARKHAN_Channel,2023-09-13T04:36:21Z,Tolong pak polisi jangan di musnahkan di jual aja itung2 buat nambah gaji kalian fuck
15,@thedarkangel4059,2023-09-19T10:59:22Z,Habis itu duitnya di bagi bagi appa di sita atau bagaima.. soalnya itu kan gurih...
16,@rahayutv5868,2023-09-17T02:29:18Z,Hukum mati.
17,@syaifulrizal4982,2023-09-13T02:29:15Z,Udah hafal setiap menjelang pemilu kuperhatiin..hhhhhaahh...😊
18,@YuhdiYuhdiyuhdi-ft8bf,2023-09-13T00:33:21Z,"Tanpa kong kalikong oknum oknum mustahil.!!!!literminal aja masih banyak calo/premannya,slh satu contoh bungur asih surabaya.,sampai sekarang.apalagi mlm hari hati hati.,yg baru pertama kali.😅😅😅"
19,@andrisupriyanto9094,2023-09-13T23:47:37Z,"Usaha milik pribadi kok aset semua di sita, giliran aset hasil korupsi gak di sita. Joni G plate Korupsi 8T cuman di denda berapa ratus juta dan para koruptor lainnya korup berapa puluh milyar cuman di denda berapa ratus juta saja mantan koruptor masih bisa mencalonkan anggota dewan kn konyol 😂😅😅"
20,@markusiskandar3256,2023-09-15T10:11:39Z,Harus mati semua ini mah ...
21,@patimahbintisoheh9086,2023-09-13T07:39:50Z,Alhamdulih akhirnya d miskin kan dasar rakus kaya tapi meracuni manusia
22,@mkemal3643,2023-09-13T00:13:50Z,Hasil Sitaan dijaga ya
23,@adisumarno2051,2023-09-16T23:27:33Z,Yg terhormat bapak penegak hukum adiili orang-orang semacam ini dengan hukum yg berlaku karena orang orang semacam ini perusak generasi bangsa hukum merka dengan hukuman yg seberat-beratnya
24,@ridhoilahi6403,2023-09-13T05:03:32Z,Hmmmmm geram perusak ank bangsa .bobgkar teruus buar penjara sepi
25,@zeinanbaru5430,2023-09-13T06:23:51Z,Bandar nxa tak mungkin tersentuh
26,@ichalarcher7459,2023-09-14T17:42:30Z,Pantesan susah ny cri uang.. Semuanya udah di kumpulin dsana
27,@exelnoeng7063,2023-09-13T04:23:48Z,Polri hebat..
28,@nanomar8368,2023-09-16T12:52:34Z,wih duit nya kemana ntr kalo udah gituh.masuk kantong wa lisi doang  wkwkw konoh gituh loh
29,@afandi9395,2023-09-14T12:57:10Z,Itu bb diputar lagi
30,@pcloa1850,2023-09-18T08:44:11Z,"Tidak berguna jika tidak langsung dieksekusi mati, berita seperti ini sudah BASI  !!"
31,@caangngungkulanpoek1604,2023-09-12T23:54:32Z,"Pak Jokowi sudah jengkel, sekali bicara minta diberesin narkoba, langsung ada penangkapan besar, nilainya 10 T."
32,@yourcoffe9460,2023-09-18T03:25:50Z,Logout dari server bumi sih harusnya ini
33,@galuhtopayt10,2023-09-13T00:26:03Z,Dilihat saja bagaimana hukuman yg akan dilaksanakan😂😂😂
34,@raydatunnisa3387,2023-09-13T00:36:19Z,"Ternyata kalsel tmpt transaksi terbesar di indonesia..anehnya polda kalsel tdk mengetahui, ada apa ya"
35,@zuhudm8814,2023-09-12T23:12:58Z,Hukum mati
36,@iwanruswana12,2023-09-12T22:57:34Z,Selamat bagi aparat yg taat dan takut Alloh
37,@haslinawati7176,2023-09-13T10:16:07Z,hukum mati miskinkan biar jera.dan kakeknya yg melindungi sudah di hukum seumur hidup.pasti taulah rakyat indonesia.2 kakeknya polisi sdh di hukum.jangan di lindungi lg pak polisi.
38,@stasyakiranurhaya8461,2023-09-19T06:06:34Z,Yakin pihak KEPOLISIAN tdk mendapat setoran dari para sindikat (bandar) narkoba ??
39,@NAnto-xz7wj,2023-09-17T08:24:03Z,"Apresiasi untuk Polri, selamat atas pengungkapanya..💪🙏🎉🎉"
40,@budisantoso-ou4zf,2023-09-13T12:47:11Z,Mantap mantap
41,@bones3912,2023-09-17T10:32:58Z,Bekinganya dicari juga donf
42,@rahadidenis,2023-09-15T16:31:46Z,"Kurang paham sama alurnya...<br>Kalau aset sampek kayak gitu berarti kan dah lama , dan aset sudahvkeburu bnyak. Dan jaringan sudah besar...<br>Kenapa ditangkap?<br>Sebelumnya kan mereka aman aman aja?<br>Sampek bisa punya rumah ,tanah,hotel,gedung,gedungnya disewa. <br>Pasti juga pihak yg terkaita mgkn ratusan orang dari sipil dan non sipil.<br>Kenapa?<br>Trus klo uang hasil sitaanya dipake buat kampanye boleh gak.?<br>Sama itu yg mendesak dri pihak luar atau inisiatif indo.<br>Apakah mungkin didesak dsri kuar negeri trus dikeluarkan tersangka  sebagai kambing hitam. Aset disita 10t padahal aset sebenarnya 50t masih aman karena sudah ada kambing hitamnya...dan tetap bisa berusaha diluar sana.<br>Bagaimana pak?"
43,@alehYounk,2023-09-13T15:40:06Z,Smoga uang hasil rampasan nya amanah disimpen negara
44,@ichsanhadi3530,2023-09-13T01:24:57Z,Coba setiap kasus korupsi juga begini terbuka dalam pemberitaan
45,@abdiferiyandizen4987,2023-09-12T23:59:08Z,Selamat dan terimakasih polri indonesia yg membrantas narkoba internasional dan lokal❤
46,@kikifans1416,2023-09-13T01:18:53Z,Uang sitanya bisa buat bayar utang negara kali yah kalo sampe 10 t .biar cepet lunas dan indo makmur
47,@riderkagangarti,2023-09-13T07:40:59Z,D sita juga ntr d sebarin lg ma dia...jd g efek apa2 cuma pencitraan aja...seakan akan polisi bagus kerja nya...😂😂
48,@syifaqani,2023-09-15T15:03:25Z,Mantap POLRI
49,@abdulloh5354,2023-09-13T11:59:52Z,"Ungkap oknum dan hukum seberat2nya yg berkianat pada negara,mereka tidak mungkin bisa memasukan barang yg segitu banyaknya klo tidak ada oknum yg ikut campur tangan ."
50,@pengembalacebongcom8363,2023-09-19T15:54:42Z,"Gila...segitu banyak harta yang di kumpulkan,berapa lama dia kumpulkan dan Berapa banyak....😱.... manusia yang telah mereka Rusak di Negeri ini???"
51,@sonydocomo7500,2023-09-13T13:59:02Z,"Di Kasus sebesar ini, pasti banyak oknum... Yang terlibat."
52,@fajarajalah3319,2023-09-14T14:50:55Z,"Yg jelas yg bisnis itu bukan orang biasa,<br>Yg jelas ada di dalam pemerintah dan para pejabat tinggi negara,<br>Walau di gembar gembor kan di publik,<br>Yg jelas akan lolos dari hukum di negri ini,<br>Paham dan sudah biasa kan hukum di negara ini,<br>Ke banyakan sekenario di depan publik saja,<br>Agar di anggap pejabat hukum di negara ini wah, atau hebat,<br>Pedahal akan lolos juga."
53,@masterjhon99,2023-09-17T13:44:16Z,Mantap polri🎉🎉🎉
54,@adityanih1933,2023-09-13T09:52:50Z,kalau gak diatensi presiden maka gak akan ditangkap2!
55,@ico131,2023-09-13T00:49:36Z,Jangan lupa para pelindung nya di usut dong… sampai sejauh ini pasti ada yg melindungi.
56,@dardakdemak5149,2023-09-16T06:55:11Z,"Pengen naik pangkat j....aslinya dh lama tau,dan di mintai upeti ni dh kenyang"
57,@parmangopar6893,2023-09-13T00:48:49Z,"Semoga aparat hukum bisa tegas menindak kepada  aparat yg main utk memperkaya pribadi, klu mau niat memakmurkan bangsa. Kita semua berkaca sama TNI yang berjuang mempertaruhkan nyawa untuk bangsa . Sampai KASAD Jend Dudung cek TNI ad dompet isinya 2 RB ."
58,@makmumdasilvadosantos9275,2023-09-13T11:07:36Z,Maklum udh lama gk nangkap yg besar memang harus ada yg d korbnkan
59,@samsivivo8466,2023-09-19T17:45:32Z,"IN SEMUA BOHONG UJUNGNYA, KERJA SIA SIA, HUKUMNYA BEBAS JUGA NGG AD HUKUMAN MAKSIMAL, SY YAKIN KASUS IN KABUR, REZIM NARKOBA, OOOOOOH JOKOWI BOHONG LAGI, MODUS KLU ORG MISKIN DI HUKUMAN DIMATI"
60,@wongfakir,2023-09-13T05:24:20Z,Terima kasih aparat polisi sudah menangkap jaringan narkoba internasional smoga dihukum seberat beratnya. Narkoba bisa merusak dan menghancurkan generasi bangsa.
61,@buddeichbleyheim,2023-09-14T22:38:24Z,Hanya diera sekarang semua kebathilan yg besar muncul
62,@hadisaputra4478,2023-09-16T06:17:00Z,MAINAN JENDRAL INI MAH 🗿
63,@muisaditama8225,2023-09-13T09:05:16Z,"Korups, i pungli,  makelar kasus, narkoba judi dimana mana"
64,@triramadhan5455,2023-09-16T00:13:26Z,Tidak percaya
65,@HariYanto-me3tn,2023-09-13T06:02:14Z,Ya Allah msh bnyk pekerjaan halal knp milih bekerja secara haram.... Dah hukum 10 thn penjara aja soalnya sambo pun gk di hukum mati...
66,@odyselong6100,2023-09-15T03:19:11Z,"Ini kemungkinan jenderal jenderal polisi ikut bekingi, tak mungkin leluasa bisnis ini tak ada yg bekingi...bisnis jenderal polisi Teddy minahasa"
67,@keripikkentang2949,2023-09-16T19:10:12Z,ga mungkin kan barang sebanyak itu kalo ga punya BEKINGAN
68,@subursubur1886,2023-09-18T07:19:39Z,byuhhj
69,@putra.pertama4858,2023-09-13T04:43:18Z,Gantung saja di tiang lampuh merah..selesai masalah...itu sma penyakit masyarakat...
70,@Nasi487,2023-09-17T17:39:11Z,Ya nanti jgn bb ni yg penting......
71,@alibastomi4594,2023-09-16T08:55:03Z,"Bagus hiduplah Penegak hukum,,,ini baru namanya aparat, bukanya miting satu satu rakyat yang mempertahankan haknya,,,,"
72,@NurHayati-ck6vm,2023-09-15T01:33:14Z,Meledak la ya banyakbbarbut....
73,@kakaciakoihouse4669,2023-09-14T04:29:35Z,wow kabareskirim adi makayasaa mantao
