nomor,nama_akun,tanggal_komentar,komentar
1,Djupri Anto,2023-09-13T05:10:24Z,semoga kasus ini ditindak lanjuti sampai tuntas bukan hanya sebagai pemanis berita semata
2,Saamah,2023-09-13T01:45:15Z,Sy YAKIN ada PEJABAT yang TERLIBAT dalam BISNIS NARKOBA ini dan yang MELINDUNGINYA
3,Tio Suhariono,2023-09-18T02:28:04Z,Hukuman Mati yg Cocok
4,Solihen Skw,2023-09-15T17:09:32Z,1thun nnti udah bebas 😂
5,Warsito Toto02,2023-09-13T00:51:43Z,Ketika negara2 asing mengetatkan hukuman mk barang haram tsb mengalir ke negri ini dg anggapan masyarakatnya potensial dan hukuman bs dinego lewat oknum.
6,Lukman Luk,2023-09-13T13:45:09Z,INI BENAR2 EDAN YA? TERSANGKA APA HUKUMANNYA YA
7,Cerita Kang Kebon,2023-09-12T23:14:55Z,Teddy minahasa lainnya rawan muncul nih😂
8,SEPUTAR MAKHLUK,2023-11-25T15:20:38Z,Wkwkwkwk kapan sih nangkep koruptor bisa kaya gini😂
9,ikhlas Channel,2023-09-17T05:27:59Z,Memantaplah.<br>Kemajuan yang sangat positif untuk polri.
10,Mawar Bodas86,2023-09-17T07:50:02Z,"Nahh ini baru patut saya apresiasi,,, tetap yg benar diatas segalanya,,, mantap pa kawal kasusnya terus dan ungkap sampai keakar-akarnya"
11,Den Bagoes,2023-09-13T18:11:19Z,"Yang ditunggup proses hukum yg sesungguhnya yaitu dengan menghikum pelaku yg seberat beratnya.<br>Jangan ada lagi dihukum hanya dengan hukuman Rehabiltasi, ini<br>hukuman yg memuak kan."
12,mahmud hidayat,2023-09-18T03:58:13Z,"Alhamdulillah polisi kita dapat menangkap gembongan narkoba dan menyita asetnya sungguh suatu prestasi polri  dan patut diapresiasi, selamat dan sukses Polri."
13,Kresno 01,2023-09-12T22:38:48Z,Barito utara berarti kalimantan dong ya
14,Aditya chenel,2023-09-16T04:09:37Z,Duh itu uang lumayan buat bangun kampung aku
15,Zeinan Baru,2023-09-13T06:23:51Z,Bandar nxa tak mungkin tersentuh
16,oktovianus dau decki,2023-09-15T23:38:47Z,semoga barang bukti gak di edarkan lagi. kek contoh Teddy Minahasa
17,Dwi AK,2023-09-16T05:38:13Z,Klau mau buka buka an pasti bnyk polisi korup yg terlibat😂😂😂😂😂😂😂😂😂😂😂😂😂.<br>Selama hukuman mati mlempem..n hukum msh bisa di nego...ya sampai kiamat Indonesia bakal JD sarang mafia bandar narkoba.
18,nori nur zaman ,2023-09-16T07:36:15Z,Hukum mati
19,Marhaban Kurnianto,2023-09-17T16:50:45Z,👍👍👍
20,BarcaDude '06,2023-09-13T03:55:39Z,FOKUS REMPANG !!
21,Anwar Anwar,2023-09-13T02:41:14Z,MAS GANJAR MUNGKIN  MASIH  ADA FILM PORNO BARANGKALI   MASIH ADA TOLONG DONG  DI PUTAR  KAMI RAKYAT KECIL INGIN NONTON  BER SAMA SAMA MAS GANJAR  BARAGKALI SERU. KALAU NONTON SAMA MAS  GANJAR
22,Mulyadi Mulyadi,2023-09-16T08:26:19Z,Kalau gak ada kongkalikong dgn apat aparat ini tidangmungkin sedemikian pesatnya narkoba di indonesia
23,Mr. TAN,2023-09-16T06:29:50Z,&quot;Tidak ada yang MENGAMBIL KEUNTUNGAN disitu&quot;<br>Mantaaaab!!<br>But...<br>Is that even possible?
24,Pramanda Yuga,2023-09-13T00:28:06Z,Hukum mati ga sih ?
25,Wee Ni,2023-09-12T22:39:50Z,Terima kasih atas kerja kerasnya
26,Andri Amsari,2023-09-13T04:47:15Z,Syukur lah..
27,Parman gopar,2023-09-13T00:48:49Z,"Semoga aparat hukum bisa tegas menindak kepada  aparat yg main utk memperkaya pribadi, klu mau niat memakmurkan bangsa. Kita semua berkaca sama TNI yang berjuang mempertaruhkan nyawa untuk bangsa . Sampai KASAD Jend Dudung cek TNI ad dompet isinya 2 RB ."
28,Jawa Batak,2023-09-19T09:57:46Z,Nanti barang buktinya mau di apain.
29,Jazuli Agus,2023-09-17T15:05:22Z,Waow
30,Asus Zenfone,2023-09-12T22:27:36Z,Ngk heran jg...nanti jg BB di jual lgi 😂😂😂😂
31,SHAKILA PUTRI,2023-09-13T05:36:08Z,Sambo apa kabar😲
32,Aleh Aleh,2023-09-13T15:40:06Z,Smoga uang hasil rampasan nya amanah disimpen negara
33,Bandi Yonoferry good,2023-09-17T06:57:29Z,Apresiasi setinggi tingginys buat POLRI tetapi juga harus menghukum seberat&quot; nya bagi oknum POLISI yg terlibat pengedaran NARKOBA ❤
34,Sugeng Santoso,2023-09-17T12:39:11Z,Ya Alloh itu duit banyak banget 🥱🥱🥱
35,Ody Selong,2023-09-15T03:26:04Z,Ini kasus pasti nanti pengacara pengacara kelas 1 berebut bela para pelaku..
36,mahdiozone mahdi,2023-09-18T06:57:13Z,Hasil menjual narkoba kok di sita kan itu hasil usaha dia bukan keropsi...
37,Djoko Doank,2023-09-12T22:39:53Z,"lakukan sama dg pelaku korupsi,,,sita semua aset nya.akn merdekan indonesia"
38,Rojalih Anim,2023-09-17T13:10:14Z,"KITA LIHAT NANTI KASUS INI APAKAH AKAN BERAHIR SEPERTI  PREDY- BUDIMAN  NGGAK......   KALAU MAU ADIL SIH HARUS SAMA DG PREDY BUDIMAN  , YAKNI HUKUMAN MATI .......  TERUS APA KABAR JENDRAL TEDDY MINAHASA.......    ??????<br>MAU TEGAS JANGAN TANGGUNG TANGGUNG AH........  !!!!!!    INI JUGA AKAN MENIMBULKAN KECEMBURUAN KEADILAN  , BAGI KELUARGA  PELALU PELAKU NARKOBA SEBELUM NYA.......YG SUDAH DI EKSEKUSI......!!!!"
39,Vivi Farel,2023-09-13T01:00:00Z,Sepertinya ini deretan dari tertangkapnya Ratu Narkoba dari aceh kemarin# kandidat baru hukuman Mati 😮astagfirullah
40,Hari Budiawan72,2023-09-13T05:12:22Z,Dunia ini panggung sandiwara
41,Pecintanime,2023-09-13T05:10:25Z,PENGALIHANAN ISU<br>Fokus Beritakan Kondisi REMPANG
42,Muhammad Adi,2023-09-16T05:00:00Z,Kenapa para koruptor gak di perlakukan seperti ini juga ya
43,Muh. Asbul Sewang,2023-09-13T05:08:32Z,Bravo POLRI. Sikat semua para pengedar Narkoba.mereka membunuh gerasi mudah secara perlahan lahan tanpa rasa kemanusiaan.
44,Al Muir,2023-09-13T01:30:04Z,Kejujuran sudah mulai nampak dari petugas lapangan.
45,Kalangi Tomi Simon drakel,2023-09-13T00:42:17Z,Jgn  senang.  Karna  narkoba tidak jauh dari keterkaitan. Dgn kejaksaan hakim dan polisi. Pasti ada  yg terlibat  tidak mungkin tidak.  Dimana ada makanN. Pasti ada tikus.
46,Anwar Anwar,2023-09-13T03:38:42Z,Jokowi  kamu itu jangan lah anies  di  k.p.k.kan  tapi kamu lah yang harus diperiksa oleh k.p. k.  Kepada bpk listiyo  sigit  agar jokowi  segrra  diperiksa   atas segala kebohongan nya
47,Adira Azzahara,2023-09-15T10:09:35Z,hukum seberat beratnya aparat ini
48,Susi Sumarni,2023-09-13T00:51:09Z,"Sita sampai habis harta Dan asetnya supaya tiada MODAL LAGI, dan hukum mati langsung semuanya biar beri efek jera kpd PELAKU/PENGEDAR LAINNYA.. kalau masih hukuman seumur hidup kemudian sbb Kelakuan baik trs Di beri REMISI tdk akan habis JERA PENGEDAR SABU DINEGERI KITA.."
49,Entang Suryaman,2023-09-18T04:12:00Z,Hukum seberat2nya miskinkan mereka pelaku yg merusak moral bangsa
50,Febrian titan,2023-09-13T06:59:54Z,"kukira yg di tangkap bandar😂, btw 10 triliun kalo untuk jaringan internasional itu kecil 😂, tapi gamau suudzon ah takut 🤭"
51,Aman Marhaen,2023-09-15T07:37:02Z,Apresiasi buat aparat kita lanjut maju terus pembrantasan jaringan di NKRI tanpa pandang bulu apa pun . Merdeka
52,Agus Imron Rosyidi (AIR),2023-09-14T06:58:48Z,"Tanpa perlindungan n backing pejabat &amp; aparat, tidak mgkn mereka berani bisnis.....🏹👍✍️✍️✍️💪👹👿🗡️"
53,Hanif Sidiq,2023-09-13T09:33:06Z,Njirr tiba tiba segede itu??????!!!
54,andere Maulana,2023-09-13T16:27:04Z,"Udah gx heran oknum aparat yg membekingi narkoba , judi dll.<br><br> Udh mnjadi rahasia umum pra oknum aparat yg bermain dg pra mafia"
55,Garut Ruwet,2023-09-13T12:32:10Z,Hukum mati
56,muis aditama,2023-09-13T09:05:16Z,"Korups, i pungli,  makelar kasus, narkoba judi dimana mana"
57,Bintang Aria,2023-09-16T10:20:23Z,Knp Bru d bongkar skrg..yg bhkn judi online pun gembong ny msh berkeliaran
58,Tunkor123,2023-09-13T03:47:07Z,Korupsi jg d sita asetnya smpai miskin
59,sardan Saputro,2023-09-13T00:06:53Z,Jgn pakai lama. Lesung proses hukuman tembak di laksanakan. Bru ada Jera penerusnya.
60,Salman2 Coy,2023-09-15T18:20:31Z,"Orang dalam terlibat pejabat2 terlibat,hukuman matilah yang tepat buat perusak generasi bangsa...."
61,Euis Dedeh Rahayu,2023-09-13T11:07:09Z,dalangnya orang sipit...
62,Dewi Barokah,2023-09-15T08:18:32Z,Sagt tdk mungkin brg hram tu bs masuk ke negri in atw bs bkn prusahaan didlm kl tdk ad bekingan dri oknum yg berpangkt tinggi..kapolri hrus lbih pro aktif dlm mylidiki brg&quot;trlarang..byang rusakx bagsa tu  narkoba n koropsi..hukumn hrus mti..
63,Ayu Tsutsui,2023-09-15T22:52:10Z,Uang tunai nya bisa buat bayar hutang negara tuh. Para pelakunya hukum mati saja jangan kasih keringan hukum…semangat pak polisi🙏💪💪💪🙏
