komentar,label,komentar_preprocessing
"Aminnn...#orderan goride mhn di lancar kan.all driver""kecuali yg pakai mod tuyul""",positive,aminnn order goride mhn lancar all driver kecuali pakai mod tuyul
"Tq @gojekindonesia @golifeindonesia 🖤. Harusnya si bapak ini ⭐ 5.0.

Khusus daerah Bandung, kalau mau therapist bisa hubungin ke nomor yang ada di kartu. pic.twitter.com/5JMNmnmnHQ",positive,tq gojekindonesia golifeindonesia si daerah bandung therapist hubungin nomor kartu pic twitter com jmnmnmnhq
"Semoga Twitter panjang umur. Berkomunikasi dengan penyedia jasa di Indonesia, never been this easy. I just mentioned once, langsung ditanggapi. @HaloBCA and @gojekindonesia @danawallet @BNICustomerCare fast response di Twitter. long live Twitter!",positive,moga twitter umur komunikasi sedia jasa indonesia never been this easy just mentioned once tanggap halobca and gojekindonesia danawallet bnicustomercare fast response twitter long live twitter
"Semoga di tahun yang baru ini, kita senantiasa ditunjukkan jalan yang lurus, jalan yang terbaik & jalan yang menuntun kita semua ke pintu surga.

Selamat Tahun Baru Islam 1 Muharam 1441 H.

#IslamicNewYear #TahunBaruIslam #Muharram1441 #PastiAdaJalan pic.twitter.com/QpAbdmYZim",positive,moga tahun senantiasa jalan lurus jalan baik jalan tuntun pintu surga selamat tahun islam muharam islamicnewyear tahunbaruislam pastiadajalan pic twitter com qpabdmyzim
"Full Week Feeling Great With You Guys @gojekindonesia @grabtaxiid Terima Kasih😁🙏🎹
.
TERIMA KASIH GOJEK N GRAB Driver For This Week 😊🤗🙏
Semoga Anda Sekalian dipenuhi Berkah yang Mau mengirim dengan Tulus , menghalau…  https://www.instagram.com/p/B12haXtlhCY/?igshid=1b3yeamv6mqm8 …",positive,full week feeling great with you guys gojekindonesia grabtaxiid terima kasih terima kasih gojek grab driver for this week moga penuh berkah kirim tulus halau
"Happy Sunday everyone ❤❤
Minggu santai menjelang makan siang yuk lah di order GoFood powered by @gojekindonesia
Available ikan bakar/goreng Nila,Mas,Mujaer,Bawal dan Lele 🍽🍽😋😋
"" Ikan Bakar 86 Biduri Bulan "" 
 https://gofood.link/u/rVY30 ",positive,happy sunday everyone minggu santai jelang makan siang yuk order gofood powered by gojekindonesia available ikan bakar goreng nila mas mujaer bawal lele ikan bakar biduri
"You can donate via @gojekindonesia application to help those in need using BTS JUNGKOOK name @BTS_twt
@OneInAnARMY pic.twitter.com/L5pkLL2yqs",positive,you can donate via gojekindonesia application to help those in need using bts jungkook name btstwt oneinanarmy pic twitter com
"Satu kesuksesan pelatih adalah di saat pemain sudah bermain maksimal. Di kepelatihan itu sendiri bukan kalah menangnya.
Tetapi bagaimana pemain bermain semaksimal mungkin mengeluarkan kemampuannya untuk memenangkan pertandingan. Thx @gojekindonesia
#pastiadajalan #SeptemberCeria",positive,sukses latih main main maksimal latih kalah menang main main maksimal keluar mampu menang tanding thx gojekindonesia pastiadajalan septemberceria
"Tgl 28 kemaren baru d tf bpk 200rb, sekarang udah abis aja sisa 20rb d kantong, 16rb d gopay, mau gk mau harus hemat beberapa hari kedepan, untung ada promo potongan harga gofood @gojekindonesia sangat bersyukur sekali. 😁  pic.twitter.com/F5Ydj7KLVp",positive,tgl kemaren tf bpk sudah habis aja sisa kantong gopay tidak hemat depan untung promo potong harga gofood gojekindonesia syukur pic twitter com
Yaaa jam-jam krucuk. Makasiiiii mamang gojek! @gojekindonesia  pic.twitter.com/gcJIJHYP9z,positive,yaaa jam jam krucuk makasiiiii mamang gojek gojekindonesia pic twitter com
"Hai, perihal tersebut kami sarankan Anda untuk melakukan perubahan nomor telepon pada akun Gojek Anda agar dapat login kembali. Untuk lebih lanjut silakan mengirimkan email beserta data Anda ke customerservice@go-jek.com...(1)",positive,perihal saran ubah nomor telepon akun gojek login sila kirim email serta data customerservice go jek com
"@gojekindonesia min gojek adain promo diskon dong buat gofoodnya jangan mau kalah sama tetangga sebelah, pengguna setia gojek nih :( 
#PastiAdaJalan",positive,gojekindonesia min gojek adain promo diskon gofood kalah tetangga belah guna setia gojek pastiadajalan
Kebiasaan pake gopay. Sekalinya gnti metode cash auto lupa. HELP @gojekindonesia 😭,positive,biasa pake gopay sekali gnti metode cash auto lupa help gojekindonesia
"Jaman sekarang kebutuhan apapun bisa sampe dirumah dalam waktu instan
Tinggal nunggu @GrabID atau @gojekindonesia bawa tukang cukur rambut kerumah aja nih",positive,jaman butuh apa sampai rumah waktu instan tinggal nunggu grabid gojekindonesia bawa tukang cukur rambut rumah aja
"Malam mingguan dirumah aja sama @dimasjumanji . Order @GrabID grab food susu shijack. Order @gojekindonesia  Gofood nasi goreng. Terus nonton ini. Perfect bikin jantungan sampe sekarang, nyesel kenapa baru ntn sekarang 😅  https://twitter.com/ParasiteMovie/status/1161653708410822656 …",positive,malam minggu rumah aja dimasjumanji order grabid grab food susu shijack order gojekindonesia gofood nasi goreng nonton perfect bikin jantung sampai nyesel ntn
"Hai kak, kami senang dapat membantu kakak. Semoga PayLater bermanfaat dan menjadi pilihan untuk pembayaran pada saat melakukan pemesanan ya. Tks^rno",positive,kak senang bantu kakak moga paylater manfaat pilih bayar mesan tks rno
"Pardon me for being too excited karna baru tau ternyata-ternyatanya si Nadiem Makarim ini. Just go ahead, you have our back! @gojekindonesia",positive,pardon me for being too excited karena tau nyata si nadiem makarim just go ahead you have our back gojekindonesia
"Akhir-akhir ini saya punya hobi menanyai driver @gojekindonesia soal jumlah order, hitung-hitungan performa, tempat nongkrong favorit, pengalaman di-prank, dan hal-hal menarik lainnya...",positive,hobi driver gojekindonesia order hitung hitung performa nongkrong favorit alam prank tarik
"makasih @gojekindonesia duit jajan saya ditambahi

love gojek ✨ hwehehehe  pic.twitter.com/7i7VXJQ9zg",positive,makasih gojekindonesia duit jajan tambah love gojek hwehehehe pic twitter com
"Sungguh @gojekindonesia menjawab masalah paling krusial umat manusia: mager.

Tukang martabak 300 meter, tapi karena sudah malem, mager, lelah nanjak dan tidak ingin melawan hawa dingin, akhirnya pilih menitipkan amanat untuk membeli ke layanan go-food :)",positive,sungguh gojekindonesia krusial umat manusia mager tukang martabak meter malem mager lelah nanjak lawan hawa dingin pilih titip amanat beli layan go food
"Bertamu ke rumah mas Syafri, Vice President Data Science @gojekindonesia
#syafribahar #datascience #gojekindonesia  https://www.instagram.com/p/B11MQVsHUjE/?igshid=14dwg9oorlmtg …",positive,tamu rumah mas syafri vice president data science gojekindonesia syafribahar datascience gojekindonesia
"Kan di @gojekindonesia ada pilihan ""Pay later"" jadi tanggal tua ga masalah dong. Ayo buruan download dan lakukan misinya biar dapat voucher go food.",positive,gojekindonesia pilih pay later tanggal tua tidak ayo buru download laku misi biar voucher go food
"Dapet abang ojol baiik banget, semoga rejekinya lancar ya mas :) @gojekindonesia  pic.twitter.com/fjhOinC5YK",positive,dapet abang ojol baiik banget moga rejeki lancar mas gojekindonesia pic twitter com
"Ayam saus mayonaisse , porsi besar bisa buat ber 2 😊 @FoodRevJakarta @jakarta_food @FoodNetwork @Jakarta_Kuliner @kulinerjakarta @gojekindonesia @gofoodindonesia @jakartafoodinfo @Giladiskon @gopayindonesia pic.twitter.com/dBvZBVUXqQ",positive,ayam saus mayonaisse porsi ber foodrevjakarta jakartafood foodnetwork jakartakuliner kulinerjakarta gojekindonesia gofoodindonesia jakartafoodinfo giladiskon gopayindonesia pic twitter com dbvzbvuxqq
"Customer Servicenya perusahaan Ojol itu suaranya empuk2 yaa kaya geprek Bensu. @gojekindonesia
@gojek24jam http://www.transonlinewatch.com/memaknai-customer-service-orientation-dari-profesi-ojek-online/ …",positive,customer service usaha ojol suara empuk yaa kaya geprek bensu gojekindonesia
"Just for mehh, 
Seharian dikamar mo makan gofood mo makan gofood. Sekarang pun gofood. Kurang purrrfect ga ada kucing :(((

Thank u @gojekindonesia promopromo nya  pic.twitter.com/7KuGfbylhQ",positive,just for mehh hari kamar mau makan gofood mau makan gofood gofood purrrfect tidak kucing thank gojekindonesia promopromo pic twitter com kugfbylhq
"Lah iya kemarin gue jugaa.  Udah sampe verif nomer terus temen gue dateng , dia rebut hp gue sambil ngatain kasar si penipunya.  Terus langsung lapor @gojekindonesia  Dan langsung ditangani ✌✌👍 mantep dah gojek luv yu",positive,iya kemarin saya jugaa sudah sampai verif nomer temen saya dateng rebut hp saya ngatain kasar si tipu lapor gojekindonesia tangan mantep gojek luv yu
Yang ku suka dari logo @gojekindonesia terbaru adalah: abang2nya helmnya pada baru jadi kalo di jalan ada jeglongan (re:polisi tidur) gak nutup sendiri sama kaitnya masih seret2 hahaha 🤣🤣🤣,positive,ku suka logo gojekindonesia baru helm jalan jeglongan re polisi tidur gak nutup kait seret
"Yuk dukung!  #SeptemberIssue
@hubdat151 @bptj151 @TransWatch @dpp_ado @dpc_oraski @Aliansi_ALIANDO @IndonesiaFkpo @kemenhub151 @BudiKaryaS @cctv_lampumerah @YLKI_ID @kemkominfo @GrabID @gojekindonesia @ILCtv1 @CNNIndonesia @OfficialiNewsTV @karniilyas @DishubDKI_JKT @lambeonlen pic.twitter.com/MPTZ7BoKbZ",positive,yuk dukung septemberissue transwatch dppado dpcoraski aliansialiando indonesiafkpo budikaryas cctvlampumerah ylkiid kemkominfo grabid gojekindonesia ilctv cnnindonesia officialinewstv karniilyas dishubdkijkt lambeonlen pic twitter com
"Lebih dari 1 juta driver Gojek siap layani transportasi, pesan antar makanan, kirim belanja dan banyak lagi kebutuhan kita semua! Lebih gampang lagi Top-Upnya gampang via SMS dan I-Banking Bank BJB @infobankbjb @gojekindonesia #tipsPRIMA",positive,juta driver gojek layan transportasi pesan makan kirim belanja butuh gampang top up gampang via sms banking bank bjb infobankbjb gojekindonesia tipsprima
"Kegabutan yang haqiqi, muter2 naik goride gojek 4 kali utk dapetin cashback 10.000 😵.

Thank you @gojekindonesia  pic.twitter.com/XyXMYKZov7",positive,kegabutan haqiqi muter goride gojek untuk dapetin cashback thank you gojekindonesia pic twitter com xyxmykzov
"Pertama kali Install App Gojek langsung dapat voucher untuk gofood dan cuman bayar 10k, beginikah kehidupan Hedonisme itu min @gojekindonesia? 😬  pic.twitter.com/3lBNzLWWDG",positive,install app gojek voucher gofood cuman bayar hidup hedonisme min gojekindonesia pic twitter com lbnzlwwdg
"Ga perlu pusing kalau saldo GO-PAY sekarat karena bisa isi ulang kapan saja di ATM, Internet Banking, Mobile Banking dan loket PPOB OCBC-NISP terdekat @bankocbcnisp @gojekindonesia #tipsPRIMA",positive,tidak pusing saldo go pay sekarat isi ulang atm internet banking mobile banking loket ppob ocbc nisp dekat bankocbcnisp gojekindonesia tipsprima
"Hi, we are happy to help solve your question. Hopefully PayLater is useful and becomes an option for payment when placing an order. Thanks^krn",positive,hi we are happy to help solve your question hopefully paylater is useful and becomes option for payment when placing order thanks karena
"Hai kak, kami senang dapat membantu kakak. Semoga PayLater bermanfaat dan menjadi pilihan untuk pembayaran pada saat melakukan pemesanan ya. Tks^krn",positive,kak senang bantu kakak moga paylater manfaat pilih bayar mesan tks karena
"Hai Isti, untuk pengecekan pesanan layanan GoBox silakan buka menu GoBox terlebih dahulu kemudian pilih tanda jam di sebelah kanan atas. Terima kasih ^yun",positive,isti kece pesan layan gobox sila buka menu gobox pilih tanda jam belah kanan terima kasih yun
"Hai, terima kasih atas feedback yg diberikan dan akan kami teruskan ke tim kami untuk peningkatan layanan GO-JEK, jika ke depannya mengalami kendala yg sama silakan segera informasikan kami detail ordernya melalui DM ya.   ^yun",positive,terima kasih feedback terus tim tingkat layan go jek depan alami kendala sila informasi detail order dm yun
"Direktur Angkutan Jalan Ditjen Perhubungan Darat Kemenhub, Ahmad Yani, menegaskan, aturan itu wajib dipatuhi semua aplikator penyedia layanan ojek online. 
@gojekindonesia @gojek24jam
#ojol #ojekonline",positive,direktur angkut jalan ditjen hubung darat kemenhub ahmad yani atur wajib patuh aplikator sedia layan ojek online gojekindonesia ojol ojekonline
"Kementerian Perhubungan (Kemenhub) menerapkan tarif baru ojek online (ojol) di seluruh wilayah RI mulai Senin (2/9/2019). Penerapan tersebut ternyata tidak hanya berlaku untuk dua aplikator besar, yakni Grab dan Gojek 
#ojol @gojekindonesia",positive,menteri hubung kemenhub terap tarif ojek online ojol wilayah ri senin terap laku aplikator grab gojek ojol gojekindonesia
Admin @gojekindonesia yg ganteng sy pengen tanya untuk mitra pengemudi gojek baru yg blum menerima sms pengambilan atribut bagaimana ya ? Padahal sdh 2 bln ini narik tanpa atribut. Makasih love you,positive,admin gojekindonesia ganteng saya ken mitra kemudi gojek blum terima sms ambil atribut sudah bln narik atribut makasih love you
"tambah semangatnya teman driver @grabtaxiid @gojekindonesia semua, semoga berlimpah rejekinya malam ini aamiin 😊😊👍🇮🇩
#JakartaTangerang #HiburanRakyat #Sabtu31Agustus2019 #BismillahAlhamdulillah @ KAMPUS UNIJA…  https://www.instagram.com/p/B10cQCwpgfg/?igshid=qonqujxtepni …",positive,semangat teman driver grabtaxiid gojekindonesia moga limpah rejeki malam aamiin jakartatangerang hiburanrakyat bismillahalhamdulillah kampus unija
