nomor,nama_akun,tanggal_komentar,komentar,komentar_preprocessing
5,Warsito Toto02,2023-09-13T00:51:43Z,Ketika negara2 asing mengetatkan hukuman mk barang haram tsb mengalir ke negri ini dg anggapan masyarakatnya potensial dan hukuman bs dinego lewat oknum.,negara asing ketat hukum mk barang haram tsb alir negri dg anggap masyarakat potensial hukum dinego oknum
11,Den Bagoes,2023-09-13T18:11:19Z,"Yang ditunggup proses hukum yg sesungguhnya yaitu dengan menghikum pelaku yg seberat beratnya.<br>Jangan ada lagi dihukum hanya dengan hukuman Rehabiltasi, ini<br>hukuman yg memuak kan.",ditunggup proses hukum sungguh menghikum laku berat berat hukum hukum rehabiltasi inihukuman muak
12,mahmud hidayat,2023-09-18T03:58:13Z,"Alhamdulillah polisi kita dapat menangkap gembongan narkoba dan menyita asetnya sungguh suatu prestasi polri  dan patut diapresiasi, selamat dan sukses Polri.",alhamdulillah polisi tangkap gembong narkoba sita aset sungguh prestasi polri patut apresiasi selamat sukses polri
17,Dwi AK,2023-09-16T05:38:13Z,Klau mau buka buka an pasti bnyk polisi korup yg terlibat😂😂😂😂😂😂😂😂😂😂😂😂😂.<br>Selama hukuman mati mlempem..n hukum msh bisa di nego...ya sampai kiamat Indonesia bakal JD sarang mafia bandar narkoba.,buka buka banyak polisi korup libat hukum mati mlempem hukum nego kiamat indonesia sarang mafia bandar narkoba
21,Anwar Anwar,2023-09-13T02:41:14Z,MAS GANJAR MUNGKIN  MASIH  ADA FILM PORNO BARANGKALI   MASIH ADA TOLONG DONG  DI PUTAR  KAMI RAKYAT KECIL INGIN NONTON  BER SAMA SAMA MAS GANJAR  BARAGKALI SERU. KALAU NONTON SAMA MAS  GANJAR,mas ganjar film porno barangkali tolong putar rakyat nonton ber mas ganjar baragkali seru nonton mas ganjar
23,Mr. TAN,2023-09-16T06:29:50Z,&quot;Tidak ada yang MENGAMBIL KEUNTUNGAN disitu&quot;<br>Mantaaaab!!<br>But...<br>Is that even possible?,quot ambil untung situ quot mantaaaab but is that even possible
27,Parman gopar,2023-09-13T00:48:49Z,"Semoga aparat hukum bisa tegas menindak kepada  aparat yg main utk memperkaya pribadi, klu mau niat memakmurkan bangsa. Kita semua berkaca sama TNI yang berjuang mempertaruhkan nyawa untuk bangsa . Sampai KASAD Jend Dudung cek TNI ad dompet isinya 2 RB .",moga aparat hukum tindak aparat main untuk kaya pribadi kalau niat makmur bangsa kaca tni juang taruh nyawa bangsa kasad jend dudung cek tni ada dompet isi rb
33,Bandi Yonoferry good,2023-09-17T06:57:29Z,Apresiasi setinggi tingginys buat POLRI tetapi juga harus menghukum seberat&quot; nya bagi oknum POLISI yg terlibat pengedaran NARKOBA ❤,apresiasi tingginys polri hukum berat quot oknum polisi libat peedaran narkoba
38,Rojalih Anim,2023-09-17T13:10:14Z,"KITA LIHAT NANTI KASUS INI APAKAH AKAN BERAHIR SEPERTI  PREDY- BUDIMAN  NGGAK......   KALAU MAU ADIL SIH HARUS SAMA DG PREDY BUDIMAN  , YAKNI HUKUMAN MATI .......  TERUS APA KABAR JENDRAL TEDDY MINAHASA.......    ??????<br>MAU TEGAS JANGAN TANGGUNG TANGGUNG AH........  !!!!!!    INI JUGA AKAN MENIMBULKAN KECEMBURUAN KEADILAN  , BAGI KELUARGA  PELALU PELAKU NARKOBA SEBELUM NYA.......YG SUDAH DI EKSEKUSI......!!!!",berahir predy budiman nggak adil dg predy budiman hukum mati kabar jendral teddy minahasa tanggung tanggung ah timbul cemburu adil keluarga lalu laku narkoba eksekusi
43,Muh. Asbul Sewang,2023-09-13T05:08:32Z,Bravo POLRI. Sikat semua para pengedar Narkoba.mereka membunuh gerasi mudah secara perlahan lahan tanpa rasa kemanusiaan.,bravo polri sikat peedar narkoba bunuh gas mudah perlahan lahan manusia
