nomor,label,nama_akun,komentar,komentar_preprocessing
1,negative,Agus-Sylvi,"Meninggalkan zona aman dan nyaman demi kemajuan Jakarta, dengan hasil yang tak sesuai harapan - AHY #realitybites #PilkadaDKI",tinggal zona aman nyaman maju jakarta hasil sesuai harap ahy realitybites pilkadadki
2,positive,Ahok-Djarot,"semoga #AhokDjarot bisa menyelesaikan tugas negaranya sampe oktober pas pelantikan gubernur baru, supaya APBN saat ini tidak diganggu2 amin",moga ahokdjarot selesai tugas negara sampai oktober pas lantik gubernur apbn diganggu amin
3,positive,Agus-Sylvi,"Heboh, AHY muncul dengan penampilan baru @AgusYudhoyono http://beritahati.com #BERITAHATI #heboh #ahy #baru #tampilan #pilkada #nasional",heboh ahy muncul tampil agusyudhoyono beritahati heboh ahy tampil pilkada nasional
4,positive,Agus-Sylvi,Doa ku.. Semoga suaranya mas Agus-Sylvi beneran ke #Badja #PilkadaDKI2017 yakin kan mas Agus.. Aku pada mu..,doa ku moga suara mas agus sylvi beneran badja mas agus mu
5,negative,Anies-Sandi,#debatfinalpilkadadki ada oke oce. Ada oke mart. Lama2 ada oke jek hahaha ogah kerja ogah capek #okeoce,debatfinalpilkadadki oke oce oke mart lama oke jek ogah ogah capek okeoce
6,negative,Ahok-Djarot,"Makin stress! Dipikiran @fadlizon cuma duit, itung : 4000 bunga x Rp 200.000 udah berapa dananya?? Tapi cinta ke #AhokDjarot melebihi materi",stress pikir fadlizon duit itung bunga rp sudah dana cinta ahokdjarot lebih materi
7,positive,Ahok-Djarot,Iwan Fals saja pilih Ahok Djarot..tahu kan konsistennya Iwan Fals melawan korupsi ? #pilkadadki2017 @Takviri,iwan fals pilih ahok djarot konsisten iwan fals lawan korupsi takviri
8,negative,Ahok-Djarot,Wasekjen MUI Nilai Video Kampanye Ahok-Djarot Suduntukan Umat Islam https://goo.gl/vrIZIy  #News #AhokDjarot,wasekjen mui nilai video kampanye ahok djarot suduntukan umat islam news ahokdjarot
9,positive,Agus-Sylvi,"Pilihan warga jkt Mayoritas bukan pada ahok, tapi calon selain ahok, terbukti di dua putaran pilkada dki. Mayoritas memilih AHY dan Anies",pilih warga jkt mayoritas ahok calon ahok bukti putar pilkada dki mayoritas pilih ahy anies
10,negative,Ahok-Djarot,"Bawa #Ganja, #Polisi Ciduk #Penyanyi Pro #Ahok http://obsessionnews.com #AhokDjarot #iwak #anies #AniesSandi #PilkadaDKI #pilkadajakarta	",bawa ganja polisi ciduk nyanyi pro ahok ahokdjarot iwak anies aniessandi pilkadadki pilkadajakarta
