nomor,nama_akun,tanggal_komentar,komentar,komentar_preprocessing
2384,@didiksoepriadi1236,2023-09-13T09:29:59Z,MANTAP Ndan....APLUSSS...KINERJA YG BAIK CUKUP MEMUASKAN.....tapi coba usut KASUS KANJURUHAN MALANG......MOHON IJIN ....agar kami bisa MENDENGAR LANGSUNG DARI SUMBERNYA .....,mantap ndan aplusss kerja muas coba usut kanjuruhan malang ijin dengar sumber
2093,@fitrirengganis7066,2023-09-16T05:04:21Z,"Barang Buktinya harus diambil negara, masyarakat, media Dan Kam harus kawa barang bukti.. Jgn sampai Di ciri oleh oknum2 tertentu",barang bukti ambil negara masyarakat media kam kawa barang bukti jangan ciri oknum
286,@henykartika1271,2023-09-12T23:14:05Z,"Terimakasih pak jokowy sdh berikan yg terbaik buat  Ri.semoga pak jokowi bahagia selalu dan juga kel, Dlm lindungan sang pencipta.",terimakasih jokowy sudah baik moga jokowi bahagia kel dalam lindung sang cipta
1427,@saefulelfalah195,2023-09-13T02:08:50Z,"Yg seperti merekalah yg ingin negeri ini selalu kacau. Di saat pemerintah  di buat sibuk dengan hujatan cacian makian berita hoax dan segala remeh temeh lainnya, mereka akan leluasa untuk berbisnis haram sperti itu",negeri kacau perintah sibuk hujat caci maki berita hoax remeh temeh leluasa bisnis haram sperti
222,@alyubi6926,2023-09-16T11:32:28Z,"PARA GEMBONG NARKOBA HARUS DIHUKUM TEMBAK DI TEMPAT SAJA, JANGAN BUANG BUANG ENERGI. KALAU ADA APARAT PENEGAK HUKUM YANG TERLIBAT JUGA HARUS DITEMBAK DI TEMPAT JUGA. MUSNAHKAN PARA MANUSIA MANUSIA BERAHKLAK BIADAB INI.❤🇮🇩💪💪💪💪💪💪💪",gembong narkoba hukum tembak buang buang energi aparat tegak hukum libat tembak musnah manusia manusia berahklak biadab
350,@bobbyharyanto8745,2023-09-13T03:06:36Z,Woi barang bukti nya di pantau terus..takut nya di tilep lagi .duit nya di bagi dong ke rakyat indonesia..perbaiki jln rusak ..buatin penerangan lampu jln di desa desa..pokok nya buat rakyat dah..tapi mimpi doang she .yg ada cuma di mkn sendiri ..BB nya di bagi segelintir mereka doang😂😂😂,woi barang bukti pantau takut tilep duit rakyat indonesia baik jln rusak buatin terang lampu jln desa desa pokok rakyat mimpi doang she mkn gelintir doang
2645,@hendro_jc,2023-09-13T03:10:23Z,"Tidak jauh dari diskotik sebenarnya peredaran narkoba itu,coba di selidiki diskotik diskotik besar diindonesia pasti semakin banyak pihak kepolisian bisa menangkap bandar bandar narkoba..",diskotik edar narkoba coba selidik diskotik diskotik indonesia polisi tangkap bandar bandar narkoba
192,@hengkidjapar8937,2023-09-13T02:48:04Z,Percuma ditangkap<br>Bila aparat hukum kita masih mau diajak main<br>Makanya Narkoba tdk ada habis2 nya.<br>Intinya penjara tidak bikin pelaku bertobat.<br>Justru jadi ajang buat mencari anggota baru.,ditangkapbila aparat hukum ajak mainmaka narkoba tidak habis inti penjara bikin laku tobat ajang cari anggota
950,@salmahsitisiah2678,2023-09-15T08:28:51Z,Tugas hrustgs jgn tbang blih demsa dpn negara dan jiwa generasi pnerus,tugas hrustgs jangan tbang blih demsa dpn negara jiwa generasi pnerus
1208,@didikprabowo8662,2023-09-12T22:15:58Z,"Hukuman mati harus di tegakkan,,,hakim2nya harus di didik supaya menolak suap,,,dan semua aparat harus cinta tanah air,,,bukan cinta bandar narkoba,,,,bila di biarkan,,,puluhan ton yg akan di pasok ke indonesia",hukum mati tegak didik tolak suap aparat cinta tanah air cinta bandar narkoba biar puluh ton pasok indonesia
42,@rahadidenis,2023-09-15T16:31:46Z,"Kurang paham sama alurnya...<br>Kalau aset sampek kayak gitu berarti kan dah lama , dan aset sudahvkeburu bnyak. Dan jaringan sudah besar...<br>Kenapa ditangkap?<br>Sebelumnya kan mereka aman aman aja?<br>Sampek bisa punya rumah ,tanah,hotel,gedung,gedungnya disewa. <br>Pasti juga pihak yg terkaita mgkn ratusan orang dari sipil dan non sipil.<br>Kenapa?<br>Trus klo uang hasil sitaanya dipake buat kampanye boleh gak.?<br>Sama itu yg mendesak dri pihak luar atau inisiatif indo.<br>Apakah mungkin didesak dsri kuar negeri trus dikeluarkan tersangka  sebagai kambing hitam. Aset disita 10t padahal aset sebenarnya 50t masih aman karena sudah ada kambing hitamnya...dan tetap bisa berusaha diluar sana.<br>Bagaimana pak?",paham alur aset sampek kayak gitu aset sudahvkeburu banyak jaring tangkap aman aman aja sampek rumah tanah hotel gedung gedung sewa terkaita mgkn ratus sipil non sipil terus uang hasil sitaa dipake kampanye gak desak inisiatif indo desak dsri kuar negeri terus keluar sangka kambing hitam aset sita aset aman kambing hitam usaha luar
