Nomor,label,komentar,komentar_preprocessing
1,positive,Nonton film #getout berbudget minim tp hasilnya sungguh tk diduga bgtu jenius smp mkir brulang apa yg sbnrnya trjadi,nonton film getout berbudget minim tapi hasil sungguh tk duga begitu jenius smp mkir brulang sbnr jadi
2,negative,Sayang banget ketika ada film lokal yang bagus tapi budgetnya kurang jadi layar yang bisa di tonton jadi terbatas banget. sayang banget,sayang banget film lokal bagus budget layar tonton batas banget sayang banget
3,positive,"pokoknya kalian harus nonton film kartini, asli KEREN ! @LegacyPictures @Hanungbramantyo nonton di bioskop ya, bikinnya susah loh",pokok nonton film kartini asli keren legacypictures hanungbramantyo nonton bioskop bikin susah
4,positive,"ini film keren banget bang Kekeluargaannya, cintanya, persahabatannya, komedinya dpt banget sumpah. Jadi makin cinta sama alfi. @radityadika",film keren banget bang keluarga cinta sahabat komedi dpt banget sumpah cinta alf radityadika
5,negative,Kecewa parah nnton film the guys ini. Entah kenapa makin ksini radit bkin film gapernah bener. Lucu juga nggak. Jalan cerita juga gadapet...,kecewa parah nnton film the guys ksini radit bkin film gapernah bener lucu nggak jalan cerita gadapet
6,negative,ga bakal gua nonton film setan indonesia thur. mengecewakan semua. murahan cuma ngandelin sex,tidak saya nonton film setan indonesia thur kecewa murah ngandelin sex
7,negative,"Sebenernya nggak ada yang salah sama akting Prilly di film Danur menurut aku oke oke aja. Yang kurang greget itu ceritanya sih, kurang kuat.",sebener nggak salah akting prilly film danur oke oke aja greget cerita kuat
8,positive,Ini salah satu film yg simple tapi hasilnya luarbiasa. Ga aneh film #GetOut dapet critical acclaim.,salah film simple hasil luarbiasa tidak aneh film getout dapet critical acclaim
9,positive,"Males2an diajak liat The Guys, karena masih ngerasa duit terbang percuma pasca nonton Hangout. Eh ini beda ternyata tjoy, film ini keren.",ajak liat the guys rasa duit terbang pasca nonton hangout eh beda tjoy film keren
10,negative,"Gila, film Britney Ever After jelek banget parah! Nyesel nonton walau gak sampe abis.",gila film britney ever after jelek banget parah nyesel nonton gak sampai abis
11,positive,@ernestprakasa Slamat koh ernes atas kemenangan film cek toko sebelahnya Kita kuat karna kita beragam bukan seragam,ernestprakasa slamat koh ernes menang film cek toko belah kuat karena agam seragam
12,negative,"Dgn durasi film yg tll panjang, alur yg datar, akhirnya stlh #CriticalEleven selesai sy keluar dgn pertanyaan: ini masalahnya apa sih?",dengan durasi film tll alur datar stlh criticaleleven selesai saya dengan
13,positive,"Permintaan terbuka untuk warganet Indonesia. Jikalau ada waktu + kesempatan, tontonlah film ""Ziarah"". Salah satu yg terbaik yg pernah ada~ ",minta buka warganet indonesia waktu sempat tonton film ziarah salah baik
14,negative,"Nonton film #Kartini miris , ternyata di jaman itu dan jaman sekarang bangsa kita tetap bodoh, Serakah, Gila kawin .. IRONIS !! #CelotehPagi",nonton film kartini miris jaman jaman bangsa bodoh serakah gila kawin ironis celotehpagi
15,positive,"Cek tread ini aja, Film gak terkenal yang ternyata asik di tonton - https://kask.us/hezsL  banyak nemu film bagus disini.",cek tread aja film gak kenal asik tonton nemu film bagus
16,positive,"@CenayangFilm mbah, cucumu barusan nonton Night Bus. gila, keren gini ya. tinggal dikit lagi layarnya di bandung mbah, kasian :(",cenayangfilm mbah cucu barusan nonton night bus gila keren gin tinggal dikit layar bandung mbah kasi
17,negative,"Semalam nonton film ini, paginya ane download, malem langsung nonton.. ane smpai begadang.. hasilnya? Ane Kecewa... http://fb.me/13sZi5lbC ",malam nonton film pagi ane download malem nonton ane smpai begadang hasil ane kecewa
18,positive,Satu satunya film indonesia yg gue tunggu bgt buat di tonton. Setelah liat filmnya lgsg gagal moveon. Pgn nnton lagiii #CriticalEleven,satu film indonesia saya tunggu sangat tonton liat film lgsg gagal moveon nnton lagiii criticaleleven
19,positive,"Keren bang flm lo @radityadika persahabatan, keluarga dan cinta kentel banget. Tokoh pemain pas semua keren bang",keren bang flm radityadika sahabat keluarga cinta kentel banget tokoh main pas keren bang
20,negative,"Film Kartini trlalu singkat, sehingga penonton yg mungkin blm baca biografi jelas ttg Kartini agak bingung. Saya sndiri emg blm baca bukuny.",film kartini trlalu singkat tonton blm baca biografi ttg kartini bingung sndiri emg blm baca bukuny
21,positive,"RT @GreatBos: Jarang nonton movie Indonesia Tapi. Yang judulnya Syahadat Cinta, bagus Pemirsa, Recommended .. Jalan ceritanya SERU! .. Hoo…",rt greatbos jarang nonton movie indonesia judul syahadat cinta bagus pirsa recommended jalan cerita seru hoo
22,negative,Kecewa banyak deh pkoknya.. Setidaknya mslh jam tayang bs aja ngertiin tp klu film di cut itu yg g bs dingertiin #KaulahTakdirkuMembelamu,kecewa deh pkok mslh jam tayang aja ngertiin tapi kalau film cut dingertiin kaulahtakdirkumembelamu
23,negative,"gue adalah orang yg jarang bgt nntn film indonesia..krn tiap nntn, gue slalu kecewa sama pembuatan film yg mnrt gue ga totalitas",saya jarang sangat nntn film indonesia karena nntn saya selalu kecewa buat film mnrt saya tidak totalitas
24,positive,"Gk nysel aku bg, uda ntn vlog mu yang the guys dri awal smpe akhir, dan akhrnya terbayarkan sama film mu bang kern kli @radityadika seriusan",tidak nysel uda ntn vlog mu the guys sampai akhr bayar film mu bang kern kli radityadika serius
25,negative,"Entah aku yg kurang belajar sejarah apa gimana, tapi entah kenapa konflik yg ditampilkan di film Kartini kaya kurang memenuhi ekspektasi aja",ajar sejarah gimana konflik tampil film kartini kaya penuh ekspektasi aja
26,positive,Nonton Film The Guys. Filmnya ngakak Abis ada sedihnya juga film dengan paket yg komplit hehehehe Sukses terus @radityadika,nonton film the guys film ngakak abis sedih film paket komplit hehehehe sukses radityadika
27,negative,Dibalik novel yang diangkat jadi film. Terus jadinya kurang. Sesungguhny ada campur tangan produser yang sok tau dengan embel2 lebih menjual,balik novel angkat film sesungguhny campur tangan produser sok tau embel jual
28,negative,"Abis nonton King Arthur. Temen gw pesen, sblm nonton ""loh, itu film jelek katanya"" jgn selalu percaya ama pesen yg ada unsur ""KATANYA"" ..",abis nonton king arthur temen sen sblm nonton film jelek jangan percaya ama sen unsur
29,negative,#TheMummy 2017 adalah film yang paling memgecewakan saya selama hidup. Yah padahal sy udh berekspektasi tinggi dan suka bgt mesir kuno.,themummy film memgecewakan hidup yah saya sudah berekspektasi tinggi suka sangat mesir kuno
30,negative,"Aku takut kecewa nonton film Danur, takut ga sesuai ekspetasi ketika di buku. Mikir panjang, serius.",takut kecewa nonton film danur takut tidak sesuai ekspetasi buku mikir serius
31,positive,"pokoknya kalian harus nonton film kartini, asli KEREN ! @LegacyPictures @Hanungbramantyo nonton di bioskop ya, bikinnya susah loh",pokok nonton film kartini asli keren legacypictures hanungbramantyo nonton bioskop bikin susah
32,negative,Ini film yang bilang bagus...Kelompoknya doang. Yang kasih penghargaan juga dia2 aj. waktu nonton ternyata jelek.,film bilang bagus kelompok doang kasih harga dia aj waktu nonton jelek
33,positive,"Gue udah nonton bang, sumpah pecah banget nih film karena berhasil bikin mewek nontonnya ? https://t.co/e9UbwUtbQJ",saya sudah nonton bang sumpah pecah banget film hasil bikin mewek nonton
34,negative,"Btw Danur jelek banget, gausah ditonton Hans @hansdavidian gue kebayang lo bakal #meantweets soal film ini ntar! Lol",btw danur jelek banget gausah tonton hans hansdavidian saya bayang meantweets film ntar lol
35,positive,637.000 waw ini sangat keren flm horor dng jumlah penonton segini dlm waktu 4 hari @prillybie @danurmovie,waw keren flm horor dng tonton gin dalam waktu prillybie danurmovie
36,positive,"Bravo untuk #filmkartini! Pemainnya bagus, sudut pandang ceritanya pun menarik. Film yang penting untuk ditonton perempuan dan juga lelaki.",bravo filmkartini main bagus sudut pandang cerita tarik film tonton perempuan lelaki
37,positive,"Film The Guys wajib ditonton bagi kamu yang sayang orang tua, sahabat yang baik, creatif dan cinta kebebasan. Kereen bgt kak @radityadika",film the guys wajib tonton sayang tua sahabat creatif cinta bebas kereen sangat kak radityadika
38,positive,"Film sejarah, jarang sekali di negara ini. Jika membaca sejarah saja kita enggan setidaknya tontonlah filmnya @Hanungbramantyo Kartini",film sejarah jarang negara baca sejarah enggan tonton film hanungbramantyo kartini
39,positive,"Nntn @filmziarah , film bagus, ada kali 5 menit penonton gak beranjak tetep ngliatin layar pdhl film dah selesai, msh spicles sm endingnya",nntn filmziarah film bagus menit tonton gak anjak tetep ngliatin layar film selesai spicles ending
40,positive,Sumpah ini film bagus bngt! Nonton berkali-kali gapernah bosen film the guys sangat menginspirasi tnx bang udah buat film ini @radityadika,sumpah film bagus bngt nonton kali gapernah bosen film the guys inspirasi tnx bang sudah film radityadika
41,positive,"Critical eleven film yang bagus. Dari cerita, pemain sampai gambarnya, semuanya bagus. Puas banget dah nontonnya.",critical eleven film bagus cerita main gambar bagus puas banget nonton
42,positive,"Papa mama aku juga ikut nonton , mereka termasuk critical sm Film Indonesia,mereka blg film ini Bagus sekali :) terimakasi @Hanungbramantyo",papa mama nonton critical film indonesia blg film bagus terimakasi hanungbramantyo
43,positive,Tp rasa bangga-nya pasti akan berkali2 lipat kalo film perdananya bisa meledak di pasaran dan tercatat menjadi film terlaris.,tapi bangga berkali lipat film perdana ledak pasar catat film laris
44,positive,"41 Vlog dan nunggu 22 hari setelah tanggal rilis baru nonton, kece banget, cerita yang tak tertebak sama sekali. Film THE GUYS @radityadika",vlog nunggu tanggal rilis nonton kece banget cerita tebak film the guys radityadika
45,positive,"#FilmKartini menginspirasi untuk berjuang menjunjung nilai kebenaran, bukan dominasi penguasa dan kekakuan budaya @LegacyPictures",filmkartini inspirasi juang junjung nilai benar dominasi kuasa kaku budaya legacypictures
46,positive,Film yg amat menarik. Kisah cinta & kesetiaan yg disajikan secara tidak biasa. Bikin kgn nenek. Recomended movie @filmziarah #meiberziarah,film tarik kisah cinta setia saji bikin kgn nenek recomended movie filmziarah meiberziarah
47,positive,Awalnya sih sempet khawatir setiap liat film adaptasi dr novel takut gak sesuai ekspektasi tp #CriticalEleven malah bikin speechless.,sempet khawatir liat film adaptasi dr novel takut gak sesuai ekspektasi tapi criticaleleven bikin speechless
48,positive,"Nonton Get Out bener2 gk punya ekspektasi apa2, cuma tertarik karna ini filmnya Jordan Peele, dan puas!! Keren parah, film sakit jiwa ini.",nonton get out bener tidak ekspektasi apa tarik karena film jordan peele puas keren parah film sakit jiwa
49,positive,"thanks for today @andibowooo :-* film #TheBossBaby bagus banget dapet feel nya dari lucu, ketawa , amazing pokonya ",thanks for today andibowooo film thebossbaby bagus banget dapet feel lucu ketawa amazing poko
50,positive,"film indonesia terbaik tahun lalu yang saya tonton. #ziarah diputar di bioskop 18 mei 2017. catat di hape, tonton di hari pertamanya.",film indonesia baik tahun tonton ziarah putar bioskop mei catat hape tonton pertama
51,positive,"Masih belun moveon dari #CriticalEleven dan ini bikin saya belajar satu hal. Buku yg diadaptasi ke film, gak bisa kita samakan kualitasnya",bun moveon criticaleleven bikin ajar buku adaptasi film gak sama kualitas
52,positive,Lapor mbah @CenayangFilm film ini keren. Worth to watch. Syukur2 bisa instrospeksi diri abis nonton.,lapor mbah cenayangfilm film keren worth to watch syukur instrospeksi abis nonton
53,negative,"Film danur nggak seperti novelnya. Harapan lebih serem ternyata cuman bikin boring. Sorry teh, tapi novelnya lebih bagus :)",film danur nggak novel harap rem cuman bikin boring sorry teh novel bagus
