nama_akun,tanggal_komentar,komentar,komentar_preprocessing,label
Portalnesia1,2023-09-19T04:21:26Z,Departemen KTT G20 KTT Memperkuat Rabies Control Bali Portalnesia Pn Pnnews,departemen k   k kuat rabies control bal portalnesia pn pnnews,neutral
ispeidata,2023-09-19T01:20:59Z,Departemen KTT G20 Kementerian KTT Memperkuat Rabies Control Bali,departemen k   menteri k kuat rabies control bal,neutral
RadioKesehatan,2023-09-15T06:14:45Z,Implementasi Depan G20 KTT Konferensi Tingkat Tinggi Bali November mendatang Persiapan Berkelanjutan Satu Fokus Kementerian Kesehatan G20 KTT Maksimalkan Layanan Kesehatan KTTG20,implementasi   k konferensi tingkat bal november siap lanjut fokus menteri sehat   k maksimal layan sehat  ,positive
DamaiSulbar,2023-09-15T08:55:33Z,Cinta Nabi Negara Indonesia Bali KTT G20 DAMAI LAWANTERORISME TANGKALRADIKISME MERDEKA PANCASILARDI NKRIHARGAMATI MALAQBI MELLETEDEANGANAN MANAKARRA SULBARINFO SULBARMODERAT POLEWALIM Majene MamuJu MamuJu Mamasa Mamasa Mamasa Mamasa Mamasa Mamasa Mamasa Mamasa Mamasa Mamasa Mamasa Mamasa Mamasa Mamasa Mamasa Mamasa Mamasa Mamasa Mamasa Mamasa Mamasa Mamasa Mamasa Mamasa Mamasa Mamasa Mamasa Mamasa,cinta nabi negara indonesia bal k   damai lawanterorisme tangkalradikisme merdeka pancasilardi nkrihargamati malaqbi melletedeanganan manakarra sulbarinfo sulbarmoderat polewalim majene mamuju mamuju mamasa mamasa mamasa mamasa mamasa mamasa mamasa mamasa mamasa mamasa mamasa mamasa mamasa mamasa mamasa mamasa mamasa mamasa mamasa mamasa mamasa mamasa mamasa mamasa mamasa mamasa mamasa mamasa,positive
nusabalicom,2023-09-16T01:24:29Z,Acara Sisi Agenda Terbuka G20 1 KTT 1 182 Personil Secure Kunker Presiden Bali Nusabali Berita KTTG20 Keamanan Kunker,acara sisi agenda buka    k     personil secure kunker presiden bal nusabali berita   aman kunker,positive
astarte2017,2023-09-13T22:32:26Z,Pertemuan puncak G20 Negara Bali November 2022 Mendekati Presiden Joko Widodo Kembalikan Kabinet Pertemuan Pemimpin Menyelesaikan berbagai persiapan G20 KTT Merdeka Palace Jakarta Senin 3 10 22 Jokowi,temu puncak   negara bal november     dekat presiden joko widodo kembali kabinet temu pimpin selesai siap   k merdeka palace jakarta senin    jokowi,neutral
DamaiSulbar,2023-09-13T01:22:43Z,Indonesia Saudara -saudari Indonesia Bali KTT G20 DAMAI LAWANTERORISME TANGKALRADIKISME MERDEKA PANCASILARDI NKRIHARGAMATI Malaqbi Melletediangang Manakarra Sulbarinter Sulbarinin,indonesia saudara saudari indonesia bal k   damai lawanterorisme tangkalradikisme merdeka pancasilardi nkrihargamati malaqbi melletediangang manakarra sulbarinter sulbarinin,neutral
nkrijiwaraga,2023-09-26T11:44:18Z,"Mari Dukung Implementasi Sukses G20 Summit Bali, Sulawesi Utara, G20Indonesia RecoverTogerRecoversTronger G20Indonesia2022 Groupoftwentyindonesia sulawesiutara",mari dukung implementasi sukses   summit bal sulawesi utara   recovertogerrecoverstronger       groupoftwentyindonesia sulawesiutara,neutral
jonathanpazilon,2023-09-13T00:09:12Z,Pemerintah Memastikan Hotel Bali Siap Selamat Datang G20 Glight Summit North Sumatra G20indonesia Recovertogetherrecoverstronger G20Indonesia2022 Groupoftwentyindonesia,perintah hotel bal selamat   glight summit north sumatra   recovertogetherrecoverstronger       groupoftwentyindonesia,positive
rsaupwr,2023-09-13T16:27:04Z,Departemen KTT G20 Kementerian KTT Memperkuat Rabies Control Bali,departemen k   menteri k kuat rabies control bal,neutral
