Nomor,Nama Akun,Tanggal Komentar,Komentar,Komentar_Preprocessing
1,Gading Fajar,2023-09-19T04:21:26Z,🎉Hukum Mati Harus Menjadi Prioritas Utama Bagi Mereka Yang Melakukan Perdagangan NARKOBA . Yang Nilanya Di Atas 10 Miliar.... MATI,hukum mati prioritas utama dagang narkoba nila  miliar mati
2,adenan ariff,2023-09-19T01:20:59Z,basa basi gaa sii tar juga di jual lagi trus kurirnya dia sndiri yg nangkep biar citranya naik aja,basa basi gaa sii tar jual terus kurir sndiri nangkep biar citra
3,Tara Junaidi,2023-09-15T06:14:45Z,"Yg paling heran kenapa didalam penjara masih bisa mengendalikan narkoba, jadiseolah olah penjara bukan efek jera tapi malah jd tmpt persembunyian yg paling aman",heran dalam penjara kendali narkoba jadiseolah olah penjara efek jera tmpt sembunyi aman
4,uminarti rokani,2023-09-15T08:55:33Z,"Korupsi ,narkoba gencar skli merusak bgsa kita 😢😢😢ya Allah ....lindungi bngsa kami ,anak2 kami....aamiin 🤲🤲🤲<br>Koruptor2 n bndar2 narkoba aplgi aparat yg mbekingi hrsnya stlh bnr2 trbukti tdk usah lama2 dpnjara ...lgsung digantung sj !!!! Nyatanya tdk dmkn ...mrka lamaaa dpnjara n mlah JD bandar dstu... yg bgtu masak polisi /pnjara tdk tahu ????😮😮😮😮TP ingaaat Allah TIDAK TIDUR !!! DIA TAHU.....!!!!",korupsi narkoba gencar skli rusak bgsa allah lindung bngsa anak aamiin koruptor bndar narkoba aplagi aparat mbekingi hrs stlh benar bukti tidak lama dpnjara lgsung gantung saja tidak dmkn mrka lamaaa dpnjara mlah bandar dstu begitu masak polisi pnjara tidak tapi ingaaat allah tidur
5,mikey 123,2023-09-16T01:24:29Z,Wah jangan tersangka nya j lh.yg di perlihatkan bukti narkoba nya di bakar juga  lh.ap jangan jangan di ambil yg berseragam terus di jual lagi kpda kepercayaan nya ( pengibus) lalu di edarkan lagi habis itu yg beli di tangkap wah negara konoha keren😅😅😅,sangka lh lihat bukti narkoba bakar lh ap ambil seragam jual kpda percaya ibus edar habis beli tangkap negara konoha keren
6,Ivan Ruslianto,2023-09-13T22:32:26Z,"Halah sambo aja bebas😅😅😅 masak ini hukum mati , ga adill dong .. hukum seumur hidup aja jangan hukum mati wkwkwkw",halah sambo bebas masak hukum mati tidak adill hukum umur hidup hukum mati
7,Imam Wahyudi,2023-09-13T01:22:43Z,Narkoba gak bakalan hilang atau lenyap di NKRI tercinta ini klo para penegak hukumnya gak di tes urine semuanya tanpa terkecuali,narkoba gak hhilang lenyap nkri cinta kalau tegak hukum gak tes urine kecuali
8,Djumadi Tarmun,2023-09-26T11:44:18Z,kalao cuma di penjara begitu bebas berbuat lagi mereka tdk akan jera kecuali hukum mati baru yg jera,kalao penjara bebas buat tidak jera kecuali hukum mati jera
9,Spoiler Time,2023-09-13T00:09:12Z,"pertanyaan terbesar dalam benakku&quot; aset aset yang disita baik berupa bangunan, tanah, uang dan bentuk fisik berupa kendaraan dari kasus kasus di Indonesia baik kasus kriminal, suap, korupsi dan lain lain dialihkan kemana atau kemana perginya?",besar benak aset aset sita bangun tanah uang bentuk fisik kendara indonesia kriminal suap korupsi alih mana mana pergi
10,andere Maulana,2023-09-13T16:27:04Z,"Udah gx heran oknum aparat yg membekingi narkoba , judi dll.<br><br> Udh mnjadi rahasia umum pra oknum aparat yg bermain dg pra mafia",sudah gx heran ooknum aparat beking narkoba judi dll sudah menjadi rahasia pra ooknum aparat main dg pra mafia
11,Makads Makads,2023-09-12T23:26:15Z,Apapun yg dilakukan polisi saat ini..sy kurang begitu yakin percaya...karena polisi saat ini banyak melakukan rekayasa dan penipuan..lihat kasus sambo.,apa polisi saya percaya polisi rekayasa tipu sambo
12,Dfo Tambunan,2023-09-15T06:49:40Z,"...dari dulu polri hanya bisa membongkar dan menangkap komplotan perdagangan narkoba, namun tidak pernah bisa mencegah masuknya narkoba ke Indonesia... mengapa...???",polri bongkar tangkap komplot dagang narkoba cegah masuk narkoba indonesia
13,Valentinus Valen,2023-09-18T08:00:30Z,"Klu bisa barang buktinya sabu2 tu narkoba tolong di bakar, biar tdk bisa  di jual kembali🙏🙏",kalau barang bukti sabu narkoba tolong bakar biar tidak jual
14,Sri Widji Astuti,2023-09-12T22:54:23Z,Alhamdulillah semoga mereka yg terlibat benar2 diberi sanksi hukum sesuai dengan profesi para patriot hukum yg sadar terhadap masa depan putra putri bangsa Indonesia❤,moga libat benar sanksi hukum sesuai profesi patriot hukum sadar putra putri bangsa indonesia
15,pj ginting,2023-09-13T06:52:06Z,Bravo polri..!!<br>Razia rutin  aparat ^ cukong/beking narkoba:<br>perlu diterapkan...!!,bravo polri razia rutin aparat cukong beking narkoba terap
16,Mas prabu Tanjung,2023-09-16T08:30:03Z,Selagi tindakan tegas di berlakukan dan pengawasan ketat  kepada angota oknum tni polri yg terlibat bisa menekan peredaran narkoba,selagi tindak laku awas ketat angota ooknum tni polri libat tekan edar narkoba
